Recipe ID;Category;Directions
1939;Home  >  Recipes  >  Main Dish  >  Roasts;In a medium bowl, stir together the cranberry sauce, salad dressing, and onion. Place pork in a slow cooker, and cover with the sauce mixture.<br>Cover, and cook on High for 4 hours, or on Low for 8 hours. Pork is done when the internal temperature has reached 145 degrees F (63 degrees C).<br>
771;Home  >  Recipes  >  Main Dish  >  Stuffed Main Dishes;On large plate, combine 1 tablespoon flour, salt, and pepper. Set aside. In a small bowl, combine cheese, lemon juice, and oregano. Set aside.<br>With a meat mallet, pound each chicken breast to 1/2 inch thickness. Spread cheese mixture on each chicken breast, leaving 1/2 inch border. Fold chicken breasts in half, secure each with toothpick. Coat chicken breasts with flour mixture.<br>In large skillet, heat oil over medium heat. Cook chicken breasts for 1 to 2 minutes on each side, until golden. In a small bowl, whisk together 1 1/2 cups water, chicken bouillon cube, and remaining flour, pour over chicken breasts in pan. Add spinach and tomato to skillet, and bring to boil. Cover, reduce heat to low, and simmer for 8 to 10 minutes, or until chicken is no longer pink inside. Discard toothpicks before serving.<br>
3783;Home  >  Recipes  >  Main Dish  >  Steaks and Chops;In a blender, combine the soy sauce, honey, vinegar, ginger, garlic powder, and vegetable oil.<br>Lay steak in a shallow glass or ceramic dish. Pierce both sides of the steak with a sharp fork. Pour marinade over steak, then turn and coat the other side. Cover, and refrigerate 8 hours, or overnight.<br>Preheat grill for high heat.<br>Place grate on highest level, and brush lightly with oil. Place steaks on the grill, and discard marinade. Grill steak for 10 minutes, turning once, or to desired doneness.<br>
205;Home  >  Recipes  >  Main Dish  >  Burgers  >  Hamburgers;Preheat grill for high heat.<br>In a large bowl, mix the ground beef, egg, bread crumbs, evaporated milk, Worcestershire sauce, cayenne pepper, and garlic using your hands. Form the mixture into 8 hamburger patties.<br>Lightly oil the grill grate. Grill patties 5 minutes per side, or until well done.<br>
1136;Home  >  Recipes  >  Meat and Poultry  >  Chicken  >  Chicken Breasts  >  Pan-Fried;Season both sides of chicken breasts with garlic salt and pepper.<br>Heat olive oil in a skillet over medium heat, cook seasoned chicken breasts until chicken is browned, 3 to 4 minutes per side. Add onion, cook and stir until onion is browned, 3 to 4 minutes.<br>Pour diced tomatoes and balsamic vinegar over chicken, season with basil, oregano, rosemary and thyme. Simmer until chicken is no longer pink and the juices run clear, about 15 minutes. An instant-read thermometer inserted into the center should read at least 165 degrees F (74 degrees C).<br>
867;Home  >  Recipes  >  Meat and Poultry  >  Chicken  >  Chicken Breasts;In a bowl, mix the lemon juice, olive oil, Dijon mustard, garlic, red bell pepper, salt, and pepper. Set aside 1/4 cup of the mixture to use for basting. Place chicken in the bowl, and marinate at least 20 minutes in the refrigerator.<br>Preheat grill for high heat.<br>Lightly oil grill grate. Drain and discard marinade from the bowl, and place chicken on the grill. Cook 6 to 8 minutes on each side, until juices run clear, basting occasionally with the reserved marinade.<br>
769;Home  >  Recipes  >  Main Dish;In a shallow, non-porous dish or bowl, mix together olive oil and melted butter. Stir in lemon juice, mustard, basil, and garlic, and season with salt and white pepper. Add shrimp, and toss to coat. Cover, and refrigerate for 1 hour.<br>Preheat grill to high heat. Remove shrimp from marinade, and thread onto skewers. Discard marinade.<br>Lightly oil grill grate, and arrange skewers on preheated grill. Cook for 4 minutes, turning once, or until opaque.<br>
264;Home  >  Recipes  >  Main Dish  >  Casseroles;Preheat oven to 350 degrees F (175 degrees C).<br>In a large skillet over medium-high heat, cook ground beef until no longer pink. Stir in salsa, reduce heat, and simmer 20 minutes, or until liquid is absorbed. Stir in beans, and heat through.<br>Spray a 9x13 baking dish with cooking spray. Spread crushed tortilla chips in dish, and then spoon beef mixture over chips. Spread sour cream over beef, and sprinkle olives, green onion, and tomato over the sour cream. Top with Cheddar cheese.<br>Bake in preheated oven for 30 minutes, or until hot and bubbly.<br>
245;Home  >  Recipes  >  Meat and Poultry  >  Chicken  >  Chicken Thighs;In a medium bowl, combine Worcestershire sauce, vinegar, soy sauce, chili powder, garlic and hot pepper sauce. Place chicken in sauce, and turn once to coat. Marinate for 30 minutes at room temperature, or cover and refrigerate for several hours.<br>Heat oil in a large skillet over high heat. Add chicken strips to the pan, and saute for 5 minutes. Add the onion and green pepper, and saute another 3 minutes. Remove from heat, and sprinkle with lemon juice.<br>
913;Home  >  Recipes  >  Main Dish  >  Sandwiches  >  Ham;Preheat oven to 325 degrees F (165 degrees C).<br>In a small mixing bowl, combine onion flakes, mustard, poppy seeds and margarine.<br>Split each dinner roll. Make a sandwich of the ham and cheese and the dinner rolls. Arrange the sandwiches on a baking sheet. Drizzle the poppy seed mixture over the sandwiches.<br>Bake for 20 minutes, or until cheese has melted. Serve these sandwiches warm.<br>
