Recipe ID;Ingredient ID;Amount (g);Quantity;Ingredient
1939;5045;448;1 (16 ounce) can;cranberry sauce
1939;6350;83.2;1/3 cup;French salad dressing
1939;4397;110;1;onion, sliced
1939;4181;1365;1 (3 pound);boneless pork loin roast
771;1684;15.625;2 tablespoons;all-purpose flour, divided
771;16421;3;1/2 teaspoon;salt
771;16406;0.525;1/4 teaspoon;black pepper
771;16225;112.5;1/4 pound;feta cheese, crumbled
771;5107;15.04846;1 tablespoon;fresh lemon juice
771;16403;1.5;1 teaspoon;dried oregano
771;6494;708;6;boneless, skinless chicken breast halves
771;6307;27;2 tablespoons;olive oil
771;2496;355.5;1 1/2 cups;water
771;5521;4.8;1 cube;chicken bouillon, crumbled
771;4516;100;2 cups;loosely packed torn fresh spinach leaves
771;4572;123;1;ripe tomato, chopped
3783;2882;64;1/4 cup;soy sauce
3783;1502;63;3 tablespoons;honey
3783;7842;29.60353;2 tablespoons;distilled white vinegar
3783;16397;0.9;1/2 teaspoon;ground ginger
3783;16396;1.388333;1/2 teaspoon;garlic powder
3783;6379;110;1/2 cup;vegetable oil
3783;3922;681;1 1/2 pounds;flank steak
205;3103;908;2 pounds;ground beef
205;16317;50;1;egg, beaten
205;2112;81;3/4 cup;dry bread crumbs
205;16347;50.625;3 tablespoons;evaporated milk
205;7428;34;2 tablespoons;Worcestershire sauce
205;16407;0.225;1/8 teaspoon;cayenne pepper
205;4342;6;2 cloves;garlic, minced
1136;6494;708;6;skinless, boneless chicken breast halves
1136;18740;5.5;1 teaspoon;garlic salt
1136;16406;1;;ground black pepper to taste
1136;6307;27;2 tablespoons;olive oil
1136;4397;110;1;onion, thinly sliced
1136;10214;392;1 (14.5 ounce) can;diced tomatoes
1136;18930;120;1/2 cup;balsamic vinegar
1136;16379;1.4;1 teaspoon;dried basil
1136;16403;1.5;1 teaspoon;dried oregano
1136;16412;1.090833;1 teaspoon;dried rosemary
1136;16417;0.7166666;1/2 teaspoon;dried thyme
867;5107;81.33333;1/3 cup;lemon juice
867;6307;54;1/4 cup;olive oil
867;18873;15.625;1 tablespoon;Dijon mustard
867;4342;10;2 large cloves;garlic, finely chopped
867;4786;18.6;2 tablespoons;finely chopped red bell pepper
867;16421;3;1/2 teaspoon;salt
867;16406;0.525;1/4 teaspoon;ground black pepper
867;6494;472;4;skinless, boneless chicken breast halves
769;6307;33.75;2 1/2 tablespoons;olive oil
769;16157;56.75;1/4 cup;butter, melted
769;5105;87;1 1/2;lemons, juiced
769;18873;46.875;3 tablespoons;Dijon mustard (such as Grey Poupon Country Mustard™)
769;16159;21.02333;1/2 cup;minced fresh basil leaves
769;4342;9;3 cloves;garlic, minced
769;16421;0.4;;salt to taste
769;16408;1;;white pepper
769;2664;1362;3 pounds;fresh shrimp, peeled and deveined
769;23043;4;;skewers
264;4147;454;1 pound;lean ground beef
264;5588;518;2 cups;salsa
264;10429;448;1 (16 ounce) can;chili beans, drained
264;1320;78;3 cups;tortilla chips, crushed
264;16261;460;2 cups;sour cream
264;5133;56;1 (2 ounce) can;sliced black olives, drained
264;4405;50;1/2 cup;chopped green onion
264;4572;90;1/2 cup;chopped fresh tomato
264;16215;226;2 cups;shredded Cheddar cheese
245;7428;17;1 tablespoon;Worcestershire sauce
245;16422;14.9375;1 tablespoon;cider vinegar
245;2882;16;1 tablespoon;soy sauce
245;16385;2.647489;1 teaspoon;chili powder
245;4342;3;1 clove;garlic, minced
245;5592;1;1 dash;hot pepper sauce
245;6527;681;1 1/2 pounds;boneless, skinless chicken thighs, cut into strips
245;6379;13.75;1 tablespoon;vegetable oil
245;4397;110;1;onion, thinly sliced
245;4432;119;1;green bell pepper, sliced
245;5106;54;1/2;lemon, juiced
913;4399;7;2 tablespoons;dried minced onion
913;16420;15.4185;1 tablespoon;prepared mustard
913;16409;16.8;2 tablespoons;poppy seeds
913;6311;111.4911;1/2 cup;margarine, melted
913;18058;424;24;dinner rolls
913;5829;226.8;1/2 pound;chopped ham
913;16246;224;1/2 pound;thinly sliced Swiss cheese
3328;6494;472;4;skinless, boneless chicken breast halves
3328;18873;112;4 ounces;Dijon mustard
3328;5547;72;1/4 cup;teriyaki sauce
3328;18907;28;1/4 cup;bacon bits
3328;16238;40;1/2 cup;grated Parmesan cheese
1626;16317;50;1;egg
1626;16278;61;1/4 cup;milk
1626;3103;454;1 pound;ground beef
1626;4829;23.5;1/4 cup;dry cream of wheat cereal
1626;4397;40;1/4 cup;minced onion
1626;5467;305;1 (10.75 ounce) can;condensed cream of chicken soup
1626;5489;305;1 (10.75 ounce) can;condensed cream of mushroom soup
1626;16347;378;1 (12 fluid ounce) can;evaporated milk
1626;4409;3.75;1 tablespoon;chopped fresh parsley
281;2750;454;1 pound;salmon fillets
281;16157;56.75;1/4 cup;butter, melted
281;5107;75.24229;5 tablespoons;lemon juice
281;16393;3.1;1 tablespoon;dried dill weed
281;16396;0.6941667;1/4 teaspoon;garlic powder
281;18752;0.6875;;sea salt to taste
281;16406;1;;freshly ground black pepper to taste
203;5838;454;1 pound;sweet Italian sausage
203;4147;340.5;3/4 pound;lean ground beef
203;4397;80;1/2 cup;minced onion
203;4342;6;2 cloves;garlic, crushed
203;4664;784;1 (28 ounce) can;crushed tomatoes
203;3640;340;2 (6 ounce) cans;tomato paste
203;4582;369.2;2 (6.5 ounce) cans;canned tomato sauce
203;2496;118.5;1/2 cup;water
203;1526;25;2 tablespoons;white sugar
203;18681;1.325;1 1/2 teaspoons;dried basil leaves
203;16394;1;1/2 teaspoon;fennel seeds
203;20245;1.5;1 teaspoon;Italian seasoning
203;16421;18;1 tablespoon;salt
203;16406;0.525;1/4 teaspoon;ground black pepper
203;4409;15;4 tablespoons;chopped fresh parsley
203;17660;288;12;lasagna noodles
203;16243;453.6;16 ounces;ricotta cheese
203;16317;50;1;egg
203;16421;3;1/2 teaspoon;salt
203;16234;340.5;3/4 pound;mozzarella cheese, sliced
203;16238;60;3/4 cup;grated Parmesan cheese
1304;5107;15.04846;1 tablespoon;lemon juice
1304;6307;108;1/2 cup;olive oil
1304;16421;6;1 teaspoon;salt
1304;16404;2.280833;1 teaspoon;paprika
1304;16408;0.3;1/8 teaspoon;white pepper
1304;16396;0.3470833;1/8 teaspoon;garlic powder
1304;20580;568;2 (10 ounce);rock lobster tails
3189;6494;908.8;2 pounds;skinless, boneless chicken breast halves
3189;16421;12;2 teaspoons;salt
3189;6305;109;1/2 cup;cooking oil
3189;4397;240;1 1/2 cups;chopped onion
3189;4342;8.387665;1 tablespoon;minced garlic
3189;4343;2.79999;1 1/2 teaspoons;minced fresh ginger root
3189;16391;6.3;1 tablespoon;curry powder
3189;20551;2.1;1 teaspoon;ground cumin
3189;16418;2.2;1 teaspoon;ground turmeric
3189;18844;2;1 teaspoon;ground coriander
3189;16407;1.8;1 teaspoon;cayenne pepper
3189;2496;14.785;1 tablespoon;water
3189;4664;426;1 (15 ounce) can;crushed tomatoes
3189;16158;245;1 cup;plain yogurt
3189;3717;2.875;1 tablespoon;chopped fresh cilantro
3189;16421;6;1 teaspoon;salt
3189;2496;118.5;1/2 cup;water
3189;20473;2.1;1 teaspoon;garam masala
3189;3717;2.875;1 tablespoon;chopped fresh cilantro
3189;5107;15.04846;1 tablespoon;fresh lemon juice
1309;6494;708;6;skinless, boneless chicken breast halves - cut into 1/2 inch strips
1309;4786;164;1 large;red bell pepper, seeded and sliced into strips
1309;4397;150;1 large;onion, coarsely chopped
1309;16133;99;1/2 cup;chicken broth
1309;2882;64;1/4 cup;soy sauce
1309;20551;6;1 tablespoon;ground cumin
1309;4342;9;3 cloves;garlic, minced
1309;20244;1.5;1/2 teaspoon;red pepper flakes
1309;16421;0.4;;salt and pepper to taste
1309;1636;16;2 tablespoons;cornstarch
1309;2858;172;2/3 cup;creamy peanut butter
1309;2882;16;1 tablespoon;soy sauce
1309;5112;61.5;1/4 cup;lime juice
1309;4405;45;3;green onion, chopped
1309;3717;11.5;1/4 cup;chopped fresh cilantro
1309;2850;73;1/2 cup;chopped roasted peanuts
942;6494;236;2;skinless, boneless chicken breasts
942;4978;62.5;1/2 cup;chopped apple
942;16215;16.63865;2 tablespoons;shredded Cheddar cheese
942;2363;7.563025;1 tablespoon;Italian-style dried bread crumbs
942;16157;14.2;1 tablespoon;butter
942;3474;62.48074;1/4 cup;dry white wine
942;2496;59.25;1/4 cup;water
942;2496;14.785;1 tablespoon;water
942;1636;4;1 1/2 teaspoons;cornstarch
942;4409;3.75;1 tablespoon;chopped fresh parsley, for garnish
666;6307;54;1/4 cup;olive oil
666;16133;198;1 cup;chicken broth
666;4342;6;2 cloves;garlic, minced
666;16404;6.8425;1 tablespoon;paprika
